cDC3_LAMP3,cDC_CLEC9A,cDC(CD1C),Macro_FOLR2-APOE+,Macro_FOLR2+APOE-,Macro_FOLR2+APOE+,Macro_IER3,Macro_IFI27,Macro_ISG15,Macro_LYVE1,Macro_NLRP3,Macro_OLFML3,Mast,Mono_CD14,Mono_CD16,Mono_INHBA,pDC_LILRA4
,,,,,CALM3,,,,,,,,,,,PPP1R16B
,,,,,CYCS,,,,,,,,,,,MT-ND6
,,,,,GBP1,,,,,,,,,,,SOCS1
,,,,,IL2RA,,,,,,,,,,,RUBCN
,,,,,NANS,,,,,,,,,,,MYCL
,,,,,BRI3,,,,,,,,,,,MT-ND4
,,,,,RPL22L1,,,,,,,,,,,SELENOS
,,,,,PGD,,,,,,,,,,,CCDC186
,,,,,PABPC4,,,,,,,,,,,MT-CYB
,,,,,PDIA6,,,,,,,,,,,SMIM3
,,,,,RAB18,,,,,,,,,,,GLT1D1
,,,,,LRRC25,,,,,,,,,,,MT-ATP6
,,,,,ENG,,,,,,,,,,,PRMT9
,,,,,PSMD11,,,,,,,,,,,SARAF
,,,,,PSMB4,,,,,,,,,,,JAML
,,,,,CALHM6,,,,,,,,,,,ATG101
,,,,,FMNL2,,,,,,,,,,,SRPRA
,,,,,ISCU,,,,,,,,,,,MT-CO3
,,,,,FRMD4A,,,,,,,,,,,RSRP1
,,,,,MT-ND1,,,,,,,,,,,HSPB1
,,,,,SNX10,,,,,,,,,,,SNU13
,,,,,PLEKHO1,,,,,,,,,,,NRDC
,,,,,ITGB1,,,,,,,,,,,RUBCNL
,,,,,SERINC1,,,,,,,,,,,LSM8
,,,,,MAP1LC3B,,,,,,,,,,,MYDGF
,,,,,MLX,,,,,,,,,,,NINJ1
,,,,,MT-ND4,,,,,,,,,,,AZIN2
,,,,,YIF1B,,,,,,,,,,,NME2
,,,,,LAP3,,,,,,,,,,,CTSH
,,,,,ABI3,,,,,,,,,,,GSTO1
,,,,,ME1,,,,,,,,,,,NFKBIA
,,,,,EDEM2,,,,,,,,,,,IGSF6
,,,,,ABI1,,,,,,,,,,,
,,,,,NDUFA13,,,,,,,,,,,
,,,,,TPD52L2,,,,,,,,,,,
,,,,,CASP4,,,,,,,,,,,
,,,,,HAVCR2,,,,,,,,,,,
,,,,,PLEK,,,,,,,,,,,
,,,,,EIF4A2,,,,,,,,,,,
,,,,,PTPMT1,,,,,,,,,,,
,,,,,PLBD1,,,,,,,,,,,
,,,,,CORO1C,,,,,,,,,,,
,,,,,NDUFB9,,,,,,,,,,,
,,,,,HSD3B7,,,,,,,,,,,
,,,,,SCARB1,,,,,,,,,,,
,,,,,CYC1,,,,,,,,,,,
,,,,,MRPL40,,,,,,,,,,,
,,,,,NDUFC2,,,,,,,,,,,
,,,,,SDHD,,,,,,,,,,,
,,,,,SORBS3,,,,,,,,,,,
,,,,,CD300A,,,,,,,,,,,
,,,,,GRINA,,,,,,,,,,,
,,,,,GGA1,,,,,,,,,,,
,,,,,IL32,,,,,,,,,,,
,,,,,EML4,,,,,,,,,,,
,,,,,MGST2,,,,,,,,,,,
,,,,,LIMS1,,,,,,,,,,,
,,,,,ABCC5,,,,,,,,,,,
,,,,,PRDX5,,,,,,,,,,,
,,,,,LAMTOR2,,,,,,,,,,,
,,,,,MT-ND5,,,,,,,,,,,
,,,,,TRPM2,,,,,,,,,,,
,,,,,NAGA,,,,,,,,,,,
,,,,,COMMD1,,,,,,,,,,,
,,,,,ZNF331,,,,,,,,,,,
,,,,,TMBIM4,,,,,,,,,,,
,,,,,MT-ND2,,,,,,,,,,,
,,,,,MDH1,,,,,,,,,,,
,,,,,PCMT1,,,,,,,,,,,
,,,,,PTTG1IP,,,,,,,,,,,
,,,,,CANX,,,,,,,,,,,
,,,,,NECAP2,,,,,,,,,,,
,,,,,GIMAP5,,,,,,,,,,,
,,,,,TMED3,,,,,,,,,,,
,,,,,M6PR,,,,,,,,,,,
,,,,,FNIP2,,,,,,,,,,,
,,,,,NEU1,,,,,,,,,,,
,,,,,GBP5,,,,,,,,,,,
,,,,,TMEM70,,,,,,,,,,,
,,,,,MT-ND3,,,,,,,,,,,
,,,,,JPT1,,,,,,,,,,,
,,,,,DAP3,,,,,,,,,,,
,,,,,CPVL,,,,,,,,,,,
,,,,,CD4,,,,,,,,,,,
,,,,,SIL1,,,,,,,,,,,
,,,,,ATG7,,,,,,,,,,,
,,,,,FAM20A,,,,,,,,,,,
,,,,,VAC14,,,,,,,,,,,
,,,,,MANBA,,,,,,,,,,,
,,,,,DOK3,,,,,,,,,,,
,,,,,DNAJB11,,,,,,,,,,,
,,,,,UBE2L6,,,,,,,,,,,
,,,,,ETFB,,,,,,,,,,,
,,,,,PSMB7,,,,,,,,,,,
,,,,,MAPKAP1,,,,,,,,,,,
,,,,,GRB2,,,,,,,,,,,
,,,,,PMP22,,,,,,,,,,,
,,,,,HCK,,,,,,,,,,,
,,,,,PLXDC2,,,,,,,,,,,
,,,,,ILK,,,,,,,,,,,
,,,,,TMEM51,,,,,,,,,,,
,,,,,PHPT1,,,,,,,,,,,
,,,,,KCNAB2,,,,,,,,,,,
,,,,,SNAP23,,,,,,,,,,,
,,,,,NAAA,,,,,,,,,,,
,,,,,BTF3L4,,,,,,,,,,,
,,,,,PSMA5,,,,,,,,,,,
,,,,,EMC7,,,,,,,,,,,
,,,,,DRAM2,,,,,,,,,,,
,,,,,FUCA2,,,,,,,,,,,
,,,,,GNPTG,,,,,,,,,,,
,,,,,NDUFB7,,,,,,,,,,,
,,,,,MT2A,,,,,,,,,,,
,,,,,TFEC,,,,,,,,,,,
,,,,,DYNLRB1,,,,,,,,,,,
,,,,,PSMC3,,,,,,,,,,,
,,,,,MT-ND6,,,,,,,,,,,
,,,,,OLFML2B,,,,,,,,,,,
,,,,,NFIC,,,,,,,,,,,
,,,,,PSMC1,,,,,,,,,,,
,,,,,RAC1,,,,,,,,,,,
,,,,,IQGAP2,,,,,,,,,,,
,,,,,SURF1,,,,,,,,,,,
,,,,,BLOC1S2,,,,,,,,,,,
,,,,,TMED10,,,,,,,,,,,
,,,,,RPS27L,,,,,,,,,,,
,,,,,FCHO2,,,,,,,,,,,
,,,,,RAP2B,,,,,,,,,,,
,,,,,ECHS1,,,,,,,,,,,
,,,,,PDCD1LG2,,,,,,,,,,,
,,,,,COPE,,,,,,,,,,,
,,,,,CHMP2A,,,,,,,,,,,
,,,,,CLTA,,,,,,,,,,,
,,,,,HSPE1,,,,,,,,,,,
,,,,,SERPINB6,,,,,,,,,,,
,,,,,BMP2K,,,,,,,,,,,
,,,,,ARL1,,,,,,,,,,,
,,,,,NDUFB3,,,,,,,,,,,
,,,,,NCF2,,,,,,,,,,,
,,,,,GNAS,,,,,,,,,,,
,,,,,FGL2,,,,,,,,,,,
,,,,,YIF1A,,,,,,,,,,,
,,,,,PSMC5,,,,,,,,,,,
,,,,,MYDGF,,,,,,,,,,,
,,,,,SRI,,,,,,,,,,,
,,,,,ENTPD1,,,,,,,,,,,
,,,,,TMEM30A,,,,,,,,,,,
,,,,,MMADHC,,,,,,,,,,,
,,,,,APOL3,,,,,,,,,,,
,,,,,PDIA3,,,,,,,,,,,
,,,,,TLR4,,,,,,,,,,,
,,,,,WBP2,,,,,,,,,,,
,,,,,PEBP1,,,,,,,,,,,
,,,,,RNF135,,,,,,,,,,,
,,,,,SPPL2A,,,,,,,,,,,
,,,,,HTATIP2,,,,,,,,,,,
,,,,,ADA2,,,,,,,,,,,
,,,,,VAMP3,,,,,,,,,,,
,,,,,SCD,,,,,,,,,,,
,,,,,RNASE6,,,,,,,,,,,
,,,,,NDUFS7,,,,,,,,,,,
,,,,,COQ2,,,,,,,,,,,
,,,,,CLN8,,,,,,,,,,,
,,,,,HSPD1,,,,,,,,,,,
,,,,,NDUFA3,,,,,,,,,,,
,,,,,BSG,,,,,,,,,,,
,,,,,DDRGK1,,,,,,,,,,,
,,,,,UQCRC2,,,,,,,,,,,
,,,,,PDXK,,,,,,,,,,,
,,,,,ACP1,,,,,,,,,,,
,,,,,PRCP,,,,,,,,,,,
,,,,,AP2M1,,,,,,,,,,,
,,,,,C1orf43,,,,,,,,,,,
,,,,,RPN1,,,,,,,,,,,
,,,,,APH1B,,,,,,,,,,,
,,,,,TRIM14,,,,,,,,,,,
,,,,,TMED5,,,,,,,,,,,
,,,,,REEP5,,,,,,,,,,,
,,,,,OSTM1,,,,,,,,,,,
,,,,,APLP2,,,,,,,,,,,
,,,,,SLC29A1,,,,,,,,,,,
,,,,,GNB4,,,,,,,,,,,
,,,,,RDH11,,,,,,,,,,,
,,,,,ARHGAP18,,,,,,,,,,,
,,,,,VTI1B,,,,,,,,,,,
,,,,,TMBIM1,,,,,,,,,,,
,,,,,CUTA,,,,,,,,,,,
,,,,,AP2A2,,,,,,,,,,,
,,,,,PSMD14,,,,,,,,,,,
,,,,,ECH1,,,,,,,,,,,
,,,,,DTNBP1,,,,,,,,,,,
,,,,,C14orf119,,,,,,,,,,,
,,,,,RALGDS,,,,,,,,,,,
,,,,,RSU1,,,,,,,,,,,
,,,,,HEBP1,,,,,,,,,,,
,,,,,SNX6,,,,,,,,,,,
,,,,,PLBD2,,,,,,,,,,,
,,,,,TBXAS1,,,,,,,,,,,
,,,,,UBE2E2,,,,,,,,,,,
,,,,,NOP10,,,,,,,,,,,
,,,,,NTAN1,,,,,,,,,,,
,,,,,FRMD4B,,,,,,,,,,,
,,,,,ANXA4,,,,,,,,,,,
,,,,,ATP6V1A,,,,,,,,,,,
,,,,,ABR,,,,,,,,,,,
,,,,,NDUFAB1,,,,,,,,,,,
,,,,,SLC25A11,,,,,,,,,,,
,,,,,MRC1,,,,,,,,,,,
,,,,,PSMA3,,,,,,,,,,,
,,,,,TMEM179B,,,,,,,,,,,
,,,,,GPR137B,,,,,,,,,,,
,,,,,GSDMD,,,,,,,,,,,
,,,,,OSTF1,,,,,,,,,,,
,,,,,ACADVL,,,,,,,,,,,
,,,,,UQCRC1,,,,,,,,,,,
,,,,,CMTM7,,,,,,,,,,,
,,,,,TMEM50A,,,,,,,,,,,
,,,,,VSIR,,,,,,,,,,,
,,,,,TNFSF13B,,,,,,,,,,,
,,,,,IL15RA,,,,,,,,,,,
,,,,,PSMG2,,,,,,,,,,,
,,,,,SSBP1,,,,,,,,,,,
,,,,,ETHE1,,,,,,,,,,,
,,,,,ARHGAP4,,,,,,,,,,,
,,,,,LTBR,,,,,,,,,,,
,,,,,DAD1,,,,,,,,,,,
,,,,,TMEM9B,,,,,,,,,,,
,,,,,RENBP,,,,,,,,,,,
,,,,,TUFM,,,,,,,,,,,
,,,,,LAPTM4A,,,,,,,,,,,
,,,,,SIRPA,,,,,,,,,,,
,,,,,SDHC,,,,,,,,,,,
,,,,,GLMP,,,,,,,,,,,
,,,,,EPHX1,,,,,,,,,,,
,,,,,RHEB,,,,,,,,,,,
,,,,,DNAJB6,,,,,,,,,,,
,,,,,SDF2L1,,,,,,,,,,,
,,,,,CD47,,,,,,,,,,,
,,,,,MAFB,,,,,,,,,,,
,,,,,SLC50A1,,,,,,,,,,,
,,,,,ATP5MC3,,,,,,,,,,,
,,,,,ANAPC11,,,,,,,,,,,
,,,,,CYB5A,,,,,,,,,,,
,,,,,CHCHD10,,,,,,,,,,,
,,,,,CLTC,,,,,,,,,,,
,,,,,TUBA1C,,,,,,,,,,,
,,,,,ME2,,,,,,,,,,,
,,,,,ARL6IP5,,,,,,,,,,,
,,,,,HLA-F,,,,,,,,,,,
,,,,,OSTC,,,,,,,,,,,
,,,,,RAB13,,,,,,,,,,,
,,,,,ALG5,,,,,,,,,,,
,,,,,TMED9,,,,,,,,,,,
,,,,,NAA20,,,,,,,,,,,
,,,,,FBP1,,,,,,,,,,,
,,,,,MDK,,,,,,,,,,,
,,,,,GPI,,,,,,,,,,,
,,,,,JOSD2,,,,,,,,,,,
,,,,,REEP4,,,,,,,,,,,
,,,,,RPS20,,,,,,,,,,,
,,,,,IFI27L2,,,,,,,,,,,
,,,,,RPS19BP1,,,,,,,,,,,
,,,,,LAMTOR5,,,,,,,,,,,
,,,,,PLGRKT,,,,,,,,,,,
,,,,,NCOA4,,,,,,,,,,,
,,,,,GSTK1,,,,,,,,,,,
,,,,,PSMD7,,,,,,,,,,,
,,,,,PRNP,,,,,,,,,,,
,,,,,TAPBP,,,,,,,,,,,
,,,,,WASF2,,,,,,,,,,,
,,,,,ACE,,,,,,,,,,,
,,,,,P4HB,,,,,,,,,,,
,,,,,ZCRB1,,,,,,,,,,,
,,,,,SLC16A3,,,,,,,,,,,
,,,,,HSPB1,,,,,,,,,,,
,,,,,LPAR6,,,,,,,,,,,
,,,,,EPB41L3,,,,,,,,,,,
,,,,,MOB1A,,,,,,,,,,,
,,,,,BEX4,,,,,,,,,,,
,,,,,COPZ1,,,,,,,,,,,
,,,,,SPAG7,,,,,,,,,,,
,,,,,RCN1,,,,,,,,,,,
,,,,,TEX264,,,,,,,,,,,
,,,,,NDUFA6,,,,,,,,,,,
,,,,,SWAP70,,,,,,,,,,,
,,,,,TXNDC17,,,,,,,,,,,
,,,,,OS9,,,,,,,,,,,
,,,,,CACYBP,,,,,,,,,,,
,,,,,SLC2A8,,,,,,,,,,,
,,,,,NADK,,,,,,,,,,,
,,,,,GIMAP7,,,,,,,,,,,
,,,,,RGL1,,,,,,,,,,,
,,,,,MIF4GD,,,,,,,,,,,
,,,,,RAB42,,,,,,,,,,,
,,,,,CHMP3,,,,,,,,,,,
,,,,,MTMR14,,,,,,,,,,,
,,,,,NUCB1,,,,,,,,,,,
,,,,,TAX1BP1,,,,,,,,,,,
,,,,,PFKL,,,,,,,,,,,
,,,,,FERMT3,,,,,,,,,,,
,,,,,SMIM15,,,,,,,,,,,
,,,,,SIGLEC1,,,,,,,,,,,
,,,,,LSM2,,,,,,,,,,,
,,,,,DUSP23,,,,,,,,,,,
,,,,,RHBDF2,,,,,,,,,,,
,,,,,AP1B1,,,,,,,,,,,
,,,,,TMEM205,,,,,,,,,,,
,,,,,ERP44,,,,,,,,,,,
,,,,,AGTRAP,,,,,,,,,,,
,,,,,SPG21,,,,,,,,,,,
,,,,,ACOT13,,,,,,,,,,,
,,,,,TECR,,,,,,,,,,,
,,,,,MT-CYB,,,,,,,,,,,
,,,,,CCT7,,,,,,,,,,,
,,,,,SPCS3,,,,,,,,,,,
,,,,,COA3,,,,,,,,,,,
,,,,,CHCHD6,,,,,,,,,,,
,,,,,ADRM1,,,,,,,,,,,
,,,,,BCKDK,,,,,,,,,,,
,,,,,ATP5F1B,,,,,,,,,,,
,,,,,PARL,,,,,,,,,,,
,,,,,TMEM123,,,,,,,,,,,
,,,,,TMC6,,,,,,,,,,,
,,,,,SSR3,,,,,,,,,,,
,,,,,IL10RA,,,,,,,,,,,
,,,,,SLA,,,,,,,,,,,
,,,,,ACTR1A,,,,,,,,,,,
,,,,,STARD7,,,,,,,,,,,
,,,,,ISOC2,,,,,,,,,,,
,,,,,TMEM251,,,,,,,,,,,
,,,,,TMEM86A,,,,,,,,,,,
,,,,,SEC62,,,,,,,,,,,
,,,,,MANF,,,,,,,,,,,
,,,,,LEPROTL1,,,,,,,,,,,
,,,,,SPRED1,,,,,,,,,,,
,,,,,TIMP2,,,,,,,,,,,
,,,,,BCL2L1,,,,,,,,,,,
,,,,,CLEC2B,,,,,,,,,,,
,,,,,SQOR,,,,,,,,,,,
,,,,,RAB10,,,,,,,,,,,
,,,,,TMEM14C,,,,,,,,,,,
,,,,,MR1,,,,,,,,,,,
,,,,,ST3GAL1,,,,,,,,,,,
,,,,,MAPRE1,,,,,,,,,,,
,,,,,MPV17,,,,,,,,,,,
,,,,,GBP4,,,,,,,,,,,
,,,,,SCAND1,,,,,,,,,,,
,,,,,NRP1,,,,,,,,,,,
,,,,,GHITM,,,,,,,,,,,
,,,,,TBC1D2B,,,,,,,,,,,
,,,,,LILRB5,,,,,,,,,,,
,,,,,PSMA1,,,,,,,,,,,
,,,,,MRPS18C,,,,,,,,,,,
,,,,,SUMO3,,,,,,,,,,,
,,,,,PTPN18,,,,,,,,,,,
,,,,,SCIMP,,,,,,,,,,,
,,,,,CHID1,,,,,,,,,,,
,,,,,ITFG1,,,,,,,,,,,
,,,,,SELENOS,,,,,,,,,,,
,,,,,PTPN6,,,,,,,,,,,
,,,,,RPL12,,,,,,,,,,,
,,,,,CISD2,,,,,,,,,,,
,,,,,RABAC1,,,,,,,,,,,
,,,,,ADAM9,,,,,,,,,,,
,,,,,RPL38,,,,,,,,,,,
,,,,,RTN3,,,,,,,,,,,
,,,,,NFKBIE,,,,,,,,,,,
,,,,,COPS6,,,,,,,,,,,
,,,,,SPCS2,,,,,,,,,,,
,,,,,PDZD11,,,,,,,,,,,
,,,,,PLEKHB2,,,,,,,,,,,
,,,,,NCF4,,,,,,,,,,,
,,,,,FBXO7,,,,,,,,,,,
,,,,,MFSD12,,,,,,,,,,,
,,,,,DNMT1,,,,,,,,,,,
,,,,,CAPNS1,,,,,,,,,,,
,,,,,RPL27A,,,,,,,,,,,
,,,,,NDUFA8,,,,,,,,,,,
,,,,,RAB32,,,,,,,,,,,
,,,,,NSFL1C,,,,,,,,,,,
,,,,,STARD3,,,,,,,,,,,
,,,,,MCFD2,,,,,,,,,,,
,,,,,TM9SF2,,,,,,,,,,,
,,,,,MRPS16,,,,,,,,,,,
,,,,,CMTM3,,,,,,,,,,,
,,,,,ZDHHC24,,,,,,,,,,,
,,,,,STX12,,,,,,,,,,,
,,,,,VCP,,,,,,,,,,,
,,,,,SLC25A24,,,,,,,,,,,
,,,,,SNX5,,,,,,,,,,,
,,,,,TSPAN3,,,,,,,,,,,
,,,,,SRP9,,,,,,,,,,,
,,,,,IFFO1,,,,,,,,,,,
,,,,,ATP5PD,,,,,,,,,,,
,,,,,GDE1,,,,,,,,,,,
,,,,,MKNK1,,,,,,,,,,,
,,,,,NDUFB8,,,,,,,,,,,
,,,,,UROS,,,,,,,,,,,
,,,,,CREBL2,,,,,,,,,,,
,,,,,HDLBP,,,,,,,,,,,
,,,,,ERGIC3,,,,,,,,,,,
,,,,,WIPF1,,,,,,,,,,,
,,,,,IDH2,,,,,,,,,,,
,,,,,HVCN1,,,,,,,,,,,
,,,,,MVP,,,,,,,,,,,
,,,,,SAR1A,,,,,,,,,,,
,,,,,VMP1,,,,,,,,,,,
,,,,,MRPS7,,,,,,,,,,,
,,,,,TCIRG1,,,,,,,,,,,
,,,,,SUMF2,,,,,,,,,,,
,,,,,HPS1,,,,,,,,,,,
,,,,,MCOLN1,,,,,,,,,,,
,,,,,CAPZA2,,,,,,,,,,,
,,,,,SNX1,,,,,,,,,,,
,,,,,IGFLR1,,,,,,,,,,,
,,,,,CISD3,,,,,,,,,,,
,,,,,GSAP,,,,,,,,,,,
,,,,,RTCB,,,,,,,,,,,
,,,,,MRPL52,,,,,,,,,,,
,,,,,SEPHS2,,,,,,,,,,,
,,,,,COA6,,,,,,,,,,,
,,,,,DOK2,,,,,,,,,,,
,,,,,PSMB5,,,,,,,,,,,
,,,,,NCSTN,,,,,,,,,,,
,,,,,PNKD,,,,,,,,,,,
,,,,,CAPN1,,,,,,,,,,,
,,,,,DGCR6L,,,,,,,,,,,
,,,,,SNRPG,,,,,,,,,,,
,,,,,ARL2,,,,,,,,,,,
,,,,,ATP5IF1,,,,,,,,,,,
,,,,,RPL36AL,,,,,,,,,,,
,,,,,HAPLN3,,,,,,,,,,,
,,,,,NDUFV1,,,,,,,,,,,
,,,,,CHMP2B,,,,,,,,,,,
,,,,,ATP5PO,,,,,,,,,,,
,,,,,IGF2R,,,,,,,,,,,
,,,,,LDHB,,,,,,,,,,,
,,,,,TMEM109,,,,,,,,,,,
,,,,,PLEKHM2,,,,,,,,,,,
,,,,,CLCN7,,,,,,,,,,,
,,,,,PPP1R7,,,,,,,,,,,
,,,,,UBE2D1,,,,,,,,,,,
,,,,,C1orf122,,,,,,,,,,,
,,,,,MRPL27,,,,,,,,,,,
,,,,,LILRB1,,,,,,,,,,,
,,,,,YIPF3,,,,,,,,,,,
,,,,,GPR155,,,,,,,,,,,
,,,,,YWHAH,,,,,,,,,,,
,,,,,LRP10,,,,,,,,,,,
,,,,,PRR13,,,,,,,,,,,
,,,,,TRAPPC3,,,,,,,,,,,
,,,,,SFT2D1,,,,,,,,,,,
,,,,,RPL15,,,,,,,,,,,
,,,,,NDUFC1,,,,,,,,,,,
,,,,,EFHD2,,,,,,,,,,,
,,,,,AKIRIN2,,,,,,,,,,,
,,,,,MYO5A,,,,,,,,,,,
,,,,,IFI6,,,,,,,,,,,
,,,,,SLC22A18,,,,,,,,,,,
,,,,,RNF114,,,,,,,,,,,
,,,,,SELENOW,,,,,,,,,,,
,,,,,RPS9,,,,,,,,,,,
,,,,,PLIN3,,,,,,,,,,,
,,,,,COMMD9,,,,,,,,,,,
,,,,,PSMD8,,,,,,,,,,,
,,,,,NDUFS8,,,,,,,,,,,
,,,,,ESD,,,,,,,,,,,
,,,,,MRPS18B,,,,,,,,,,,
,,,,,EVI2B,,,,,,,,,,,
,,,,,TRMT112,,,,,,,,,,,
,,,,,C7orf50,,,,,,,,,,,
,,,,,DUSP3,,,,,,,,,,,
,,,,,ATP5F1A,,,,,,,,,,,
,,,,,TFPT,,,,,,,,,,,
,,,,,CCT3,,,,,,,,,,,
,,,,,MDH2,,,,,,,,,,,
,,,,,POLR2F,,,,,,,,,,,
,,,,,GGA2,,,,,,,,,,,
,,,,,SYS1,,,,,,,,,,,
,,,,,AUP1,,,,,,,,,,,
,,,,,ACO2,,,,,,,,,,,
,,,,,SIGLEC7,,,,,,,,,,,
,,,,,PPIG,,,,,,,,,,,
,,,,,RPS5,,,,,,,,,,,
,,,,,STX4,,,,,,,,,,,
,,,,,SNX24,,,,,,,,,,,
,,,,,CD302,,,,,,,,,,,
,,,,,ZDHHC12,,,,,,,,,,,
,,,,,REX1BD,,,,,,,,,,,
,,,,,TFG,,,,,,,,,,,
,,,,,ZNF706,,,,,,,,,,,
,,,,,KDELR2,,,,,,,,,,,
,,,,,SLC8A1,,,,,,,,,,,
,,,,,SNX27,,,,,,,,,,,
,,,,,PSMD1,,,,,,,,,,,
,,,,,PARP10,,,,,,,,,,,
,,,,,ARL4C,,,,,,,,,,,
,,,,,NDUFB5,,,,,,,,,,,
,,,,,NENF,,,,,,,,,,,
,,,,,ATP5MF,,,,,,,,,,,
,,,,,MRPL51,,,,,,,,,,,
,,,,,MAF,,,,,,,,,,,
,,,,,PTMS,,,,,,,,,,,
,,,,,UBXN4,,,,,,,,,,,
,,,,,APOL1,,,,,,,,,,,
,,,,,STARD3NL,,,,,,,,,,,
,,,,,ERLEC1,,,,,,,,,,,
,,,,,SELENOT,,,,,,,,,,,
,,,,,CIAO2A,,,,,,,,,,,
,,,,,RER1,,,,,,,,,,,
,,,,,UQCC2,,,,,,,,,,,
,,,,,FAM50A,,,,,,,,,,,
,,,,,NECTIN2,,,,,,,,,,,
,,,,,OCIAD1,,,,,,,,,,,
,,,,,NUB1,,,,,,,,,,,
,,,,,WIPI2,,,,,,,,,,,
,,,,,NDFIP1,,,,,,,,,,,
,,,,,ITPA,,,,,,,,,,,
,,,,,EMC3,,,,,,,,,,,
,,,,,MYO9B,,,,,,,,,,,
,,,,,PIGT,,,,,,,,,,,
,,,,,ARF3,,,,,,,,,,,
,,,,,ANKRD22,,,,,,,,,,,
,,,,,SSB,,,,,,,,,,,
,,,,,CD48,,,,,,,,,,,
,,,,,ALDH9A1,,,,,,,,,,,
,,,,,CDV3,,,,,,,,,,,
,,,,,RAB2A,,,,,,,,,,,
,,,,,ATP5PF,,,,,,,,,,,
,,,,,KLHDC3,,,,,,,,,,,
,,,,,DYNLT1,,,,,,,,,,,
,,,,,TRAPPC2L,,,,,,,,,,,
,,,,,LRP1,,,,,,,,,,,
,,,,,NDUFB6,,,,,,,,,,,
,,,,,TXNL1,,,,,,,,,,,
,,,,,IFNAR1,,,,,,,,,,,
,,,,,FKBP15,,,,,,,,,,,
,,,,,RPL17,,,,,,,,,,,
,,,,,SAMSN1,,,,,,,,,,,
,,,,,DERL1,,,,,,,,,,,
,,,,,SMIM30,,,,,,,,,,,
,,,,,CD300LF,,,,,,,,,,,
,,,,,GYG1,,,,,,,,,,,
,,,,,RAB5IF,,,,,,,,,,,
,,,,,PHACTR2,,,,,,,,,,,
,,,,,PDIA4,,,,,,,,,,,
,,,,,TKT,,,,,,,,,,,
,,,,,LAG3,,,,,,,,,,,
,,,,,NDUFAF3,,,,,,,,,,,
,,,,,ERP29,,,,,,,,,,,
,,,,,CEBPA,,,,,,,,,,,
,,,,,IKBKE,,,,,,,,,,,
,,,,,ATP1B1,,,,,,,,,,,
,,,,,RPSA,,,,,,,,,,,
,,,,,PARP1,,,,,,,,,,,
,,,,,TMEM219,,,,,,,,,,,
,,,,,IER3IP1,,,,,,,,,,,
,,,,,POLR3GL,,,,,,,,,,,
,,,,,MRPS15,,,,,,,,,,,
,,,,,NAIP,,,,,,,,,,,
,,,,,ETFA,,,,,,,,,,,
,,,,,DNAJC3,,,,,,,,,,,
,,,,,GNAI3,,,,,,,,,,,
,,,,,SDF4,,,,,,,,,,,
,,,,,PTPRJ,,,,,,,,,,,
,,,,,TNFSF12,,,,,,,,,,,
,,,,,MESD,,,,,,,,,,,
,,,,,SCCPDH,,,,,,,,,,,
,,,,,OSBPL1A,,,,,,,,,,,
,,,,,MRPL14,,,,,,,,,,,
,,,,,AIM2,,,,,,,,,,,
,,,,,BNIP3L,,,,,,,,,,,
,,,,,ATP5F1C,,,,,,,,,,,
,,,,,RWDD1,,,,,,,,,,,
,,,,,C19orf53,,,,,,,,,,,
,,,,,GLRX,,,,,,,,,,,
,,,,,HAGH,,,,,,,,,,,
,,,,,TLN1,,,,,,,,,,,
,,,,,SPINT2,,,,,,,,,,,
,,,,,FIS1,,,,,,,,,,,
,,,,,PRDX3,,,,,,,,,,,
,,,,,LARP1,,,,,,,,,,,
,,,,,MAX,,,,,,,,,,,
,,,,,RPS10,,,,,,,,,,,
,,,,,PSMA2,,,,,,,,,,,
,,,,,EIF4EBP1,,,,,,,,,,,
,,,,,LILRB2,,,,,,,,,,,
,,,,,IL2RG,,,,,,,,,,,
,,,,,G6PC3,,,,,,,,,,,
,,,,,CDIPT,,,,,,,,,,,
,,,,,TOR3A,,,,,,,,,,,
,,,,,ATP6V1C1,,,,,,,,,,,
,,,,,ELOB,,,,,,,,,,,
,,,,,EPSTI1,,,,,,,,,,,
,,,,,PMVK,,,,,,,,,,,
,,,,,RPL31,,,,,,,,,,,
,,,,,OTOA,,,,,,,,,,,
,,,,,CNIH4,,,,,,,,,,,
,,,,,CHMP5,,,,,,,,,,,
,,,,,SELENOF,,,,,,,,,,,
,,,,,RAD23A,,,,,,,,,,,
,,,,,GNPTAB,,,,,,,,,,,
,,,,,SLC20A1,,,,,,,,,,,
,,,,,SAMD9L,,,,,,,,,,,
,,,,,LYSMD2,,,,,,,,,,,
,,,,,RPL13A,,,,,,,,,,,
,,,,,MTCH1,,,,,,,,,,,
,,,,,COX14,,,,,,,,,,,
,,,,,NDUFS3,,,,,,,,,,,
,,,,,ALOX15B,,,,,,,,,,,
,,,,,LACTB,,,,,,,,,,,
,,,,,ATP2A2,,,,,,,,,,,
,,,,,IFI35,,,,,,,,,,,
,,,,,TGM2,,,,,,,,,,,
,,,,,C1QBP,,,,,,,,,,,
,,,,,GYPC,,,,,,,,,,,
,,,,,ITPR2,,,,,,,,,,,
,,,,,RPS19,,,,,,,,,,,
,,,,,ATP5MG,,,,,,,,,,,
,,,,,ATP5F1E,,,,,,,,,,,
,,,,,MICOS10,,,,,,,,,,,
,,,,,TMEM165,,,,,,,,,,,
,,,,,TMEM160,,,,,,,,,,,
